Year,Month,Segment,Country,Units_Sold,Gross_Sales,Profit
2014,March,Home Office,Germany,2666,105540.86,11925.24
2014,January,Corporate,Germany,3784,219842.59,22774.87
2014,August,Small Business,Australia,363,28913.44,5851.37
2013,March,Consumer,Germany,4034,677397.02,126338.98
2013,December,Consumer,Canada,1742,247208.23,38260.29
2013,March,Corporate,India,3523,512219.94,100999.74
2014,March,Home Office,Australia,4500,285328.5,23233.09
2014,May,Home Office,UK,117,19755.2,1038.22
2014,August,Small Business,UK,4892,312270.28,52648.63
2013,November,Consumer,Canada,2958,395755.62,97326.95
2014,February,Consumer,Australia,1508,72875.99,8229.05
2014,June,Corporate,USA,2969,543126.54,134694.43
2013,December,Corporate,India,598,48921.41,3550.61
2014,December,Small Business,USA,3594,589499.42,111317.78
2013,January,Small Business,USA,559,45622.13,9009.15
2013,March,Corporate,Canada,1580,37889.08,6641.94
2013,October,Consumer,Canada,720,73502.74,6347.79
2013,July,Corporate,USA,3821,78637.82,17506.36
2014,December,Consumer,Germany,1362,39065.44,7797.49
2013,September,Home Office,Australia,240,37560.86,6236.63
2013,March,Home Office,Australia,948,106048.7,22279.44
2013,April,Small Business,USA,3589,268543.88,33882.28
2013,September,Small Business,Germany,2535,378706.25,87399.65
2014,October,Consumer,India,4079,563159.05,78729.11
2014,September,Consumer,India,426,6500.1,1479.56
2013,May,Small Business,India,2243,199268.8,38502.25
2013,August,Home Office,Australia,764,30464.01,6277.87
2014,August,Small Business,USA,3232,641956.32,75314.99
2014,June,Home Office,India,1074,169851.99,15210.03
2014,October,Corporate,USA,1220,235665.1,40543.05
2013,March,Corporate,UK,3022,594411.86,104148.4
2014,May,Small Business,Australia,4112,202787.98,48750.53
2013,July,Consumer,Germany,695,79742.5,4610.46
2014,October,Home Office,India,4275,531235.68,96685.01
2013,December,Small Business,Australia,4532,493563.53,34362.47
2014,January,Corporate,UK,4030,704162.41,146842.28
2014,September,Small Business,India,3444,567274.79,129714.88
2013,August,Consumer,UK,2798,307452.57,21040.65
2014,December,Corporate,Germany,1508,223354.43,12275.54
2014,October,Corporate,UK,2464,385049.31,64572.5
2013,January,Small Business,Germany,1375,161956.51,8420.16
2013,February,Corporate,Australia,4671,566160.34,50427.88
2014,October,Corporate,Australia,2616,108958.17,19970.54
2013,November,Small Business,Australia,1048,109542.57,10258.62
2013,November,Consumer,India,124,5929.31,1250.49
2014,June,Corporate,USA,936,120290.6,21611.61
2013,July,Home Office,UK,3252,491362.39,101835.15
2014,December,Corporate,USA,634,126099.51,21001.92
2013,May,Consumer,USA,3937,727024.04,65055.78
2013,December,Small Business,UK,2969,66740.14,12240.79
2013,February,Consumer,Australia,3041,274412.91,63277.45
2013,March,Home Office,USA,1278,110051.48,11566.16
2013,December,Corporate,Germany,4105,97632.67,17464.36
2013,August,Small Business,India,2248,135782.24,8318.08
2013,March,Small Business,USA,2978,299084.47,20662.8
2014,February,Home Office,USA,2410,115019.35,28576.25
2014,May,Consumer,USA,1675,148736.24,31702.34
2014,July,Consumer,India,4111,713648.49,100902.15
2013,September,Corporate,Canada,3980,55503.96,4354.72
2014,October,Home Office,India,3151,232530.41,21157.73
2014,February,Home Office,USA,1138,106972.02,18755.03
2013,December,Home Office,UK,2089,23040.44,1918.06
2014,May,Consumer,Germany,1656,89167.5,18490.85
2013,May,Corporate,UK,2743,209072.02,21394.94
2013,December,Corporate,USA,2737,301246.28,75297.84
2013,December,Home Office,Germany,1885,19333.94,3195.25
2013,March,Small Business,USA,4259,590237.23,130267.13
2014,September,Corporate,Germany,1497,148403.7,20937.55
2013,June,Corporate,Canada,998,187377.15,43904.44
2013,July,Home Office,UK,4677,427365.15,43491.97
2014,July,Consumer,Germany,3573,421211.06,84230.9
2014,November,Corporate,USA,978,27505.69,6780.11
2013,February,Home Office,Germany,1620,249649.81,56073.21
2014,September,Corporate,India,3448,278396.5,23779.75
2014,January,Corporate,Canada,3178,493779.73,103977.5
2013,August,Small Business,Germany,4659,371321.88,30114.04
2013,May,Small Business,India,2356,176575.52,16650.14
2013,November,Small Business,India,2603,302013.38,27571.55
2014,February,Small Business,Canada,2264,386751.09,63935.93
2013,April,Consumer,Germany,707,84897.55,9677.58
2014,July,Home Office,Canada,3539,667989.92,151067.84
2013,April,Corporate,Canada,4389,156299.35,26765.64
2014,November,Small Business,India,3182,46486.1,11351.24
2013,November,Consumer,India,1767,162178.99,12163.61
2013,February,Home Office,UK,3905,46320.45,3126.97
2014,February,Small Business,Canada,2815,502769.64,119968.97
2013,February,Consumer,Germany,3302,208957.89,26874.4
2013,April,Small Business,India,2328,73895.62,10285.75
2014,March,Home Office,Australia,2622,157589.58,18579.1
2013,July,Corporate,Australia,903,63466.92,8111.13
2014,February,Corporate,India,4138,638046.09,59901.97
2014,February,Consumer,Canada,2099,72789.86,6022.74
2014,June,Consumer,India,1374,55179.64,13011.26
2013,September,Home Office,USA,2606,102527.45,12350.49
2013,June,Small Business,Canada,1702,233836.34,22135.58
2013,April,Home Office,India,4930,817385.34,41961.27
2013,November,Consumer,USA,303,36380.56,3522.74
2014,July,Consumer,India,1269,15678.93,1638.98
2013,November,Small Business,India,4937,642372.16,153826.8
2014,July,Small Business,UK,4146,788256.58,60903.71
2014,August,Home Office,Canada,2510,358953.35,83607.13
2014,February,Corporate,India,1720,119111.36,24242.17
2013,September,Corporate,Germany,4210,440059.59,33269.63
2014,June,Consumer,UK,437,49627.28,7011.83
2013,November,Small Business,Canada,4763,843647.85,178825.3
2014,December,Consumer,USA,888,175797.59,15235.13
2014,November,Small Business,USA,115,10328.53,2136.55
2014,December,Home Office,USA,2093,67936.3,13191.12
2014,December,Small Business,USA,311,26995.14,2073.66
2013,September,Small Business,Canada,1572,248070.62,18833.81
2013,October,Consumer,Canada,1789,324956.74,25943.36
2013,August,Home Office,Canada,2290,418601.26,99193.99
2013,November,Consumer,India,3048,210967.66,23690.88
2014,May,Home Office,Canada,1428,155517.09,25431.19
2014,July,Home Office,USA,4581,179386.67,34594.09
2013,August,Consumer,USA,3761,82040.04,4436.15
2013,January,Corporate,India,1873,100616.52,10240.5
2014,September,Consumer,UK,2253,272322.61,38544.52
2014,March,Consumer,USA,740,59863.37,13410.96
2014,August,Home Office,India,2643,405153.66,75599.0
2014,May,Small Business,USA,4214,121703.31,14224.81
2014,February,Corporate,Germany,1002,192576.95,12055.82
2013,October,Small Business,India,1264,244666.14,31435.89
2014,April,Home Office,Australia,2944,149300.22,30738.72
2014,June,Small Business,Australia,351,63712.79,11558.7
2013,April,Corporate,UK,2729,128344.5,12690.76
2013,April,Home Office,Canada,586,113812.84,20686.26
2014,June,Small Business,Germany,1089,59091.16,6878.72
2013,May,Corporate,UK,2000,88227.96,19164.01
2014,January,Home Office,Canada,3215,223386.39,39764.18
2013,June,Small Business,USA,2761,400181.79,41378.36
2014,May,Small Business,USA,3731,476029.87,50153.4
2014,January,Small Business,India,345,48131.02,7845.27
2013,December,Home Office,Australia,3672,185669.41,11458.33
2013,May,Small Business,Canada,2603,475169.29,57086.76
2014,June,Consumer,USA,4729,586797.71,66199.06
2013,October,Corporate,Australia,3245,622039.84,76937.9
2013,July,Corporate,USA,2129,177611.44,40862.62
2013,November,Home Office,Germany,3482,517091.28,112326.35
2014,December,Consumer,USA,2458,299865.27,20780.04
2014,October,Consumer,India,1937,279750.99,44678.12
2014,June,Small Business,Australia,4843,422378.74,98815.36
2014,February,Consumer,USA,3537,117999.64,6287.49
2013,April,Home Office,India,2192,435546.3,48921.02
2014,December,Corporate,Australia,4765,615959.07,148268.58
